Title,Speaker,Day,Time,Place,Description
Breaking local stories with economic data (Sponsored by Donald W. Reynolds National Center for Business Journalism),"Paul Overberg, Jeannine Aversa, Thomas Dail",Wednesday,2 p.m. - 5 p.m.,Regency North,
CAR Conference Registration (Wednesday),TBA,Wednesday,3 p.m. - 5 p.m.,2nd Floor,Registration will be located on the 2nd floor of the Hyatt Regency Louisville.
CAR Conference Sales (Thursday),TBA,Thursday,7:30 a.m. - 5 p.m.,2nd Floor,"Stop by the IRE sales table and take a look at our merchandise. We will be selling books, including the newest title in the IRE beat book series. The large selection of titles we carry will certainly include your interests. The winners of the IRE T-shirt contest will be displayed and on sale. The sales table is also the place to get your ticket to ""A Night on the Town"" an event that is sure to be a fun time! All proceeds from your purchase help support IRE and its mission."
CAR Conference Registration (Thursday),TBA,Thursday,7:30 a.m. - 5 p.m.,2nd Floor,Registration will be located on the 2nd floor of the Hyatt Regency Louisville.
Making the best use of the conference,"Jaimi Dowdell, Mark Horvit, Megan Luther",Thursday,8:30 a.m. - 8:50 a.m.,Regency Center,Welcome to the conference! IRE staff will highlight key sessions and events that you won't want to miss while in Louisville. We'll also give you a brief rundown on some of the resources IRE has to offer.
Build your first News App with Django (Friday),TBA,Thursday,9 a.m. - 11:50 a.m.,Seneca/Iroquois,"This mini-boot camp will walk you through the process of taking a dataset from raw data and turning it into a searchable online database using the Python language and the Django Web framework. &nbsp;Only 18 seats are available and there is an additional $70 registration fee. &nbsp;Pre-registrations are accepted on a first-come, first-served basis. &nbsp;Prospective attendees must register and fill out an application for this hands-on camp. &nbsp;Please "
My friend FRED: Using Fed data tools to add context to stories,Keith Taylor,Thursday,9 a.m. - 9:50 a.m.,Churchill Downs,"An introduction to Federal Reserve Economic Data (FRED), the Federal Reserve Bank of St. Louis' signature economics database, with easy directions for journalists to tap into it to add context to their stories related to the economy. FRED contains more than 60,000 frequently updated sets of data, ranging from consumer price indexes to regional (metropolitan statistical area) housing charts and unemployment rates. It allows users to automatically compare the data over varying periods of time in customizable charts, and then easily incorporate those charts into print or web publications."
Tableau Public for beginners (Hosted by Tableau Public),"Daniel Hom, Mike Klaczynski",Thursday,9 a.m. - 11:50 a.m.,Seneca/Iroquois,"Learn how to create beautiful, interactive data visualizations on short deadlines. &nbsp;No programming required. &nbsp;You'll learn everything you need to build data visualizations and publish them to your website just like a video. &nbsp;We'll teach you how to:"
Getting started: Digging deep with data journalism,"Angela Caputo, Jaimi Dowdell, Jill Riepenhoff",Thursday,9 a.m. - 9:50 a.m.,Regency Center,"Are you new to data journalism or does this happen to be your first time at a CAR conference? If so, this session will help you get on track to make sure that you get the best experience possible from the 2013 CAR Conference. We'll highlight sessions and give you tips for success during and after the conference."
Information design and crossing the digital divide,"Christopher Canipe, Helene Sears",Thursday,9 a.m. - 9:50 a.m.,Regency North,
