year,overall,ncaa_tournament,badgers_result,ncaa_tournament_region,ncaa_tournament_game_arena,ncaa_tournament_game_arena_location,attendance,game_time,game_date,broadcast_station,round,opponent,opponent_seed,opponent_half,opponent_final,badgers_seed,badgers_half,badgers_half_margin,badgers_final,badgers_final_margin,badgers_url,espn_recap_url,espn_boxscore_url,ncaa_tournament_region_city
2015,35-3,4-0,Win,West Region,Staples Center,"Los Angeles, California",,6:09 PM ET,"March 28, 2015",TBS,Elite Eight,Arizona,2,33,78,1,30,-3,85,7,http://www.uwbadgers.com/sports/m-baskbl/recaps/032815aaa.html,http://scores.espn.go.com/ncb/recap?gameId=400787578,http://scores.espn.go.com/ncb/boxscore?gameId=400787578,"Los Angeles, California"
2015,34-3,3-0,Win,West Region,Staples Center,"Los Angeles, California",NULL,7:47 PM ET,"March 26, 2015",TBS,Sweet Sixteen,North Carolina,4,33,72,1,31,-2,79,7,http://www.uwbadgers.com/sports/m-baskbl/recaps/032615aaa.html,http://scores.espn.go.com/ncb/recap?gameId=400786512,http://scores.espn.go.com/ncb/boxscore?gameId=400786512,"Los Angeles, California"
2015,33-3,2-0,Win,West Region,CenturyLink Center Omaha,"Omaha, Nebraska","17,563",8:04 PM ET,"March 22, 2015",truTV,Second Round,Oregon,8,28,65,1,31,3,72,7,http://www.uwbadgers.com/sports/m-baskbl/recaps/032215aab.html,http://scores.espn.go.com/ncb/recap?gameId=400786326,http://scores.espn.go.com/ncb/boxscore?gameId=400786326,"Los Angeles, California"
2015,32-3,1-0,Win,West Region,CenturyLink Center Omaha,"Omaha, Nebraska","17,534",9:28 PM ET,"March 20, 2015",TBS,First Round,Coastal Carolina,16,32,72,1,47,15,86,14,http://www.uwbadgers.com/sports/m-baskbl/recaps/032015aaa.html,http://scores.espn.go.com/ncb/recap?gameId=400785455,http://scores.espn.go.com/ncb/boxscore?gameId=400785455,"Los Angeles, California"
2014,30-8,4-1,Loss,NULL,AT&T Stadium,"Arlington, Texas","79,444",9:12 PM ET,"April 5, 2014",TBS,Final Four,Kentucky,1,36,74,2,40,4,73,-1,http://www.uwbadgers.com/sports/m-baskbl/recaps/040514aaa.html,http://scores.espn.go.com/ncb/recap?gameId=400549978,http://scores.espn.go.com/ncb/boxscore?gameId=400549978,n/a
2014,30-7,4-0,Win,West Region,Honda Center,"Anaheim, California","17,814",8:49 PM ET,"March 29, 2014",TBS,Elite Eight,Arizona,1,28,63,2,25,-3,64,1,http://www.uwbadgers.com/sports/m-baskbl/recaps/032914aac.html,http://scores.espn.go.com/ncb/recap?gameId=400549675,http://scores.espn.go.com/ncb/boxscore?gameId=400549675,"Anaheim, California"
2014,29-7,3-0,Win,West Region,Honda Center,"Anaheim, California","17,773",7:47 PM ET,"March 27, 2014",TBS,Sweet Sixteen,Baylor,6,16,52,2,29,13,69,17,http://www.uwbadgers.com/sports/m-baskbl/recaps/032714aaa.html,http://sports.espn.go.com/ncb/recap?gameId=400548897,http://scores.espn.go.com/ncb/boxscore?gameId=400548897,"Anaheim, California"
2014,28-7,2-0,Win,West Region,BMO Harris Bradley Center,"Milwaukee, Wisconsin","18,206",8:07 PM ET,"March 22, 2014",CBS,Second Round,Oregon,7,49,77,2,37,-12,85,8,http://www.uwbadgers.com/sports/m-baskbl/recaps/032214aac.html,http://scores.espn.go.com/ncb/recap?gameId=400548468,http://scores.espn.go.com/ncb/boxscore?gameId=400548468,"Anaheim, California"
2014,27-7,1-0,Win,West Region,BMO Harris Bradley Center,"Milwaukee, Wisconsin",NULL,12:40 PM ET,"March 20, 2014",truTV,First Round,American,15,22,35,2,32,10,75,40,http://www.uwbadgers.com/sports/m-baskbl/recaps/032014aab.html,http://scores.espn.go.com/ncb/recap?gameId=400546924,http://scores.espn.go.com/ncb/boxscore?gameId=400546924,"Anaheim, California"
2013,23-12,0-1,Loss,West Region,Sprint Center,"Kansas City, Missouri",NULL,12:40 PM ET,"March 22, 2013",truTV,First Round,Ole Miss,12,22,57,5,25,3,46,-11,http://www.uwbadgers.com/sports/m-baskbl/recaps/032213aaa.html,http://scores.espn.go.com/ncb/recap?gameId=330810275,http://scores.espn.go.com/ncb/boxscore?gameId=330810275,"Los Angeles, California"
