season,christopher_long_id,conference,team,coach,overall_record,overall_wins,overall_losses,overall_winning_percentage,conference_record,conference_wins,conference_losses,conference_winning_percentage,home_record,road_record,neutral_record,conference_finish,conference_tournament,postseason_tournament,round,notes
2014-15,796,Big Ten,Wisconsin,Bo Ryan,35-3,35,3,0.921,16-2,16,2,0.889,15-1,10-2,,1st,WON,NCAA,Final Four,
2013-14,796,Big Ten,Wisconsin,Bo Ryan,30-8,30,8,0.789,12-6,12,6,0.667,14-3,8-3,8-2,2nd,,NCAA,Final Four,
2012-13,796,Big Ten,Wisconsin,Bo Ryan,23-12,23,12,0.657,12-6,12,6,0.667,15-3,5-6,3-3,4th,,NCAA,2nd Round*,1st Round called 2nd Round due to play-in games in NCAA Tournament
2011-12,796,Big Ten,Wisconsin,Bo Ryan,26-10,26,10,0.722,12-6,12,6,0.667,14-4,7-4,5-2,4th,,NCAA,Sweet 16,
2010-11,796,Big Ten,Wisconsin,Bo Ryan,25-9,25,9,0.735,13-5,13,5,0.722,16-0,5-6,4-3,3rd,,NCAA,Sweet 16,
2009-10,796,Big Ten,Wisconsin,Bo Ryan,24-9,24,9,0.727,13-5,13,5,0.722,16-1,5-5,3-3,4th,,NCAA,2nd Round,
2008-09,796,Big Ten,Wisconsin,Bo Ryan,20-13,20,13,0.606,10-8,10,8,0.556,13-3,4-7,3-3,4th (t),,NCAA,2nd Round,
2007-08,796,Big Ten,Wisconsin,Bo Ryan,31-5,31,5,0.861,16-2,16,2,0.889,16-2,10-2,5-1,1st,WON,NCAA,Sweet 16,
2006-07,796,Big Ten,Wisconsin,Bo Ryan,30-6,30,6,0.833,13-3,13,3,0.813,19-0,7-3,4-3,2nd,,NCAA,2nd Round,
2005-06,796,Big Ten,Wisconsin,Bo Ryan,19-12,19,12,0.613,9-7,9,7,0.563,14-2,2-8,3-2,4th (t),,NCAA,1st Round,
2004-05,796,Big Ten,Wisconsin,Bo Ryan,25-9,25,9,0.735,11-5,11,5,0.688,15-1,5-6,5-2,3rd,,NCAA,Elite Eight,
2003-04,796,Big Ten,Wisconsin,Bo Ryan,25-7,25,7,0.781,12-4,12,4,0.750,15-0,5-6,5-1,2nd (t),WON,NCAA,2nd Round,
2002-03,796,Big Ten,Wisconsin,Bo Ryan,24-8,24,8,0.750,12-4,12,4,0.750,16-1,6-5,2-2,1st,,NCAA,Sweet 16,
2001-02,796,Big Ten,Wisconsin,Bo Ryan,19-13,19,13,0.594,11-5,11,5,0.688,12-1,6-8,1-4,1st (t),,NCAA,2nd Round,
2000-01,796,Big Ten,Wisconsin,"Dick Bennett(2-1)
Brad Soderberg(16-10)",18-11,18,11,0.621,9-7,9,7,0.563,12-2,5-7,1-2,5th,,NCAA,1st Round,
1999-00,796,Big Ten,Wisconsin,Dick Bennett,22-14,22,14,0.611,8-8,8,8,0.500,11-3,4-9,7-2,6th,,NCAA,Final Four,
