DataOrder,Data,Title,Source,SourceLink
1,12.29.2012,The last day anyone will receive benefits from the Emergency Unemployment Compensation program unless Congress acts to renew it.,National Employment Law Project,http://www.nelp.org/
2,"$30,000,000,000",Estimated cost to renew the Emergency Unemployment Compensation program through the end of 2013.,Congressional Budget Office,
3,"400,000","Estimated number of Californians receiving benefits from the Emergency Unemployment Compensation program, which is set to expire Jan. 2.",National Employment Law Project,http://www.nelp.org/
4,"2,100,000",Estimated number of Americans receiving benefits under the Emergency Unemployment Compensation program that would lose their unemployment benefits come January if Congress doesn’t act.,National Employment Law Project,http://www.nelp.org/
5,"940,000","Estimated number of Americans whose state unemployment benefits will end in the first quarter of 2013, and would be eligible for benefits under the Emergency Unemployment Compensation program.",National Employment Law Project,http://www.nelp.org/
6,February 2012,The date when the Emergency Unemployment Compensation program was last renewed by Congress.,National Employment Law Project,http://www.nelp.org/
7,"June 30, 2008",The date the Emergency Unemployment Compensation program was created.,U.S. Department of Labor,http://www.ows.doleta.gov/unemploy/supp_act.asp
8,10,The number of times Congress has renewed the Emergency Unemployment Compensation program since it was first created in the summer of 2008.,National Employment Law Project,http://www.nelp.org/
9,37 percent,"Estimated percent of Californians that have been unemployed more than a year since 2008, when the Emergency Unemployment Compensation program was created to help the long-term unemployed.",National Employment Law Project,http://www.nelp.org/
10,"5,000,000",Estimated number of Americans that have been without work for six months or longer,National Employment Law Project,http://www.nelp.org/
11,26 weeks,Cap on unemployment benefits by the least generous states.,U.S. Department of Labor,http://workforcesecurity.doleta.gov/unemploy/docs/potential_weeks_map.pdf
12,14 to 47 weeks,"The range of maximum benefits states offer, subsidized by the Emergency Unemployment Compensation program.",National Employment Law Project,http://www.nelp.org/
13,73 weeks,Maximum length of benefits for new claimants in California under the Emergency Unemployment Compensation program.,U.S. Department of Labor,http://workforcesecurity.doleta.gov/unemploy/docs/potential_weeks_map.pdf
14,Nine states,Number of states with unemployment rates above 9 percent in which workers are eligible for up to 47 weeks of additional benefits under the Emergency Unemployment Compensation program.,Center on Budget & Policy Priorities,http://www.cbpp.org/cms/index.cfm?fa=view&id=3164
15,"$40,000,000,000",Estimated amount of money brought into the state of California by those receiving benefits from the Emergency Unemployment Compensation program since it began in July 2008.,U.S. Department of Labor,http://www.nelp.org/
